review,emotion
쌀국수와 돼지고기덮밥은 맛있게 먹었음 코코넛쉬림프도 괜찮았는데 크리스피롤은내입맛엔 별로였음 매장의 테이블이 좁아서 불편하긴 했음 면 밥 추가 가능해서 양 부족할 일은 없음,1
무난했어요,1
곱창쌀국수 국물 진하고 맛있었어요,1
쌀국수 맛있어요  돼지갈비도 맛있는데 조금 질겨요 ㅠㅠ 밥 추가 가능하니 밥이랑 돼지갈비 먹기,1
별점 점 줬더니 신고먹여서 후기 삭제당한 곳 주기적으로 별점내리러와야할거 같음,0
이게 쌀국수 싱겁고 냄새나고 면도 맛없고,0
저녁에 일찍가서 웨이팅은 없었는데 금방 줄이 생기더라구요 친절하고 음식 나오는 속도는 진짜 빨랐는데  맛이 특별할거 없다고 느껴졌어요 대표메뉴인 곱창쌀국수는 맵찔이에게 맵고 약간 조개살 먹는 느낌 아 이렇게 웨이팅이 긴곳에서 먹었네 정도인데 재방문은 안할거같아요,0
전체적으로 나쁘진 않지만 가격 대비 추천은 힘들듯 매운 곱창 쌀국수는 맛이 없는건 아니지만 제가 생각한 것보다 국물이 가벼운 느낌진한 고기 육수보단 생선 빠진 매운탕 국물 같기도 하고 프리미엄 보양 쌀국수는 다양한 고기를 맛볼수는 있는게 장점이지만 우리가 아는 그 맛,0
곱창 넘 질기고 냄새나서 별로였어요,0
내가 먹어본 중에 곱창이 제일 맛 없었음 웬만하면 다 먹는데 남겼다 비리고 돼지 잡내 올라옴,0
양 많고 직원분들도 착하신데 사장님인지 높은 분이 직원들 혼내는 소리가 너무 크게 들려서 손님인 제가 다 불편했어요,0
맛이쩌,1
매운소곱창쌀국수 양지쌀국수는 맛있었고 바쿠테는 그냥 그랬어요 소곱창쌀국수는 예전에 비해 곱창 양이 좀 줄은 것 같아요,1
빠른 회전율 훌륭한 맛,1
괜찮은데 몇 십분 씩 기다려서 먹을래라고 하면 패스하겠습니다 저는 저녁 라스트오더 시간 쯤 가서 분 정도 기다리고 입장해서 괜찮았어요,0
대기 관련  평일 시 분에 도착 후 분 웨이팅 가게 안으로 들어가서 번호표 받고 나와야 함 회전율  주문하자마자 거의 바로 나옴 맛  맛있으나 대기할만큼인지는 모르겠음 여기 말고도 국물 진하고 맛있는 데 많음 갈비는 좀 싼마이 느낌 양  엄청 많고 배 엄청 부름 기타  명이라 인석으로 안내 받았는데 안 그래도 좁은 상이 수저통과 양념통 때문에 더 좁아서 수저통과 양념통을 바닥과 의자에 내려놓고 먹었음 직원이 그릇 내려놓을 때 좀 더 신경써주면 좋을 듯 먹을만하지만 굳이 이 가격에 웨이팅까지 하며 먹을 맛은 아님,0
정말 맛있고 양 많아요,1
근처 볼일있어서 왔다가 급 쌀국수가 땡겨 방문하게 됐는데 유명하다는건 알았지만 역시 맛있네요 사장님 직원분들 모두 너무 친절하셔서 기분좋게 식사하고 갑니다 임산부인거 알아봐주시고 자리에 담요도 챙겨주시고 홍차도 카페인있다고 정수물로 바꿔주시는 센스까지 앞으로 쌀국수는 땀땀으로 정착합니다,1
맛있었습니다,1
친절하고 맛있어요,1
아 진짜 맛있음 국물맛 대박,1
맛있어요 매운쌀국수 단계 시켰는데 단계 해도 맛있을 것 같아요 주말 점심 기준 웨이팅 분정도 하고 입장했어요 테이블 간격 꽤 좁은 편 자리가 많아서 웨이팅은 금방금방 빠져요,1
미소천사 직원분 때문에 쌀국수 먹다가 심장 녹을 뻔 했어요,1
