"기준_년분기_코드","자치구_코드","자치구_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"20242","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20234","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20191","11110","종로구","305645","179843","125802","3135","56769","91937","79748","52926","21130","1296","23102","52627","52945","36569","13304","1839","33667","39310","26803","16357","7826"
"20192","11110","종로구","213561","131030","82531","917","34389","63509","59422","38673","16651","410","14857","35560","40145","28658","11400","507","19532","27949","19277","10015","5251"
"20224","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20214","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20193","11110","종로구","213561","131030","82531","917","34389","63509","59422","38673","16651","410","14857","35560","40145","28658","11400","507","19532","27949","19277","10015","5251"
"20194","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20201","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20202","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20203","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20204","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20211","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20212","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20213","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20221","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20222","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20223","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20192","11140","중구","377365","199212","178153","1093","73557","118423","101600","63166","19526","343","27465","58850","59039","41282","12233","750","46092","59573","42561","21884","7293"
"20191","11140","중구","527572","285894","241678","2771","114197","166446","135665","79969","28524","1012","46555","86974","82101","51384","17868","1759","67642","79472","53564","28585","10656"
"20223","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20203","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20241","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20222","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20193","11140","중구","377365","199212","178153","1093","73557","118423","101600","63166","19526","343","27465","58850","59039","41282","12233","750","46092","59573","42561","21884","7293"
"20201","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20221","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20224","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20204","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20213","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20214","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20202","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20212","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20242","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20211","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20194","11140","중구","334297","182250","152047","1423","73159","104655","83083","53231","18746","499","28400","55423","51494","34636","11798","924","44759","49232","31589","18595","6948"
"20234","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
"20233","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
"20192","11170","용산구","188682","109759","78923","783","39562","56891","48009","31285","12152","365","15161","31881","31041","22534","8777","418","24401","25010","16968","8751","3375"
"20223","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
"20222","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
"20193","11170","용산구","188682","109759","78923","783","39562","56891","48009","31285","12152","365","15161","31881","31041","22534","8777","418","24401","25010","16968","8751","3375"
"20221","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
"20213","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
"20212","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
"20194","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
"20201","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
"20191","11170","용산구","177524","94615","82909","1697","46134","53845","40097","22974","12777","647","17461","30044","24285","13871","8307","1050","28673","23801","15812","9103","4470"
"20202","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
"20224","11170","용산구","176381","102383","73998","710","36914","51774","46027","30658","10298","310","13710","28784","29798","22288","7493","400","23204","22990","16229","8370","2805"
